S. RAMACHANDRAN, Desiya Murpokku Dravida Kazhagam, 76537
DR. K.GHAYATHRI DEVI, Indian National Congress, 70783
S. SATHYA NARAYANAN, Bharatiya Janata Party, 9628
L. AYODHI, Independent, 2731
P. THOMAS BARNABAS, Puratchi Bharatham, 1817
A.ANAND, Indiya Jananayaka Katchi, 1265
P.T. KANNAN, Bahujan Samaj Party, 948
L. BALAJI, Jharkhand Mukti Morcha, 835
A. MANSSOOR ALI KHAN, Makkal Manadu Katchi, 787
S. MEENAKSHI SUNDARAM, Lok Satta Party, 552
M. RAMAKRISHNAN, Independent, 368
U. THILAKARAJAN, Independent, 306
K. RAVI, Independent, 277
A. VARADAN, Independent, 277
K. MUTHU KRISHNAN, All India Party for the Protection of Civil  Rights, 243
C. KRISHNAMURTHY, Independent, 199
M. V. RAJENDRA BABU, Independent, 159
J. DHINAKARAN, Independent, 145
M. EZHIL ARASU, Independent, 142
S. MUTHALAGAN, Peoples Party of India(secular), 136
