VEDHACHALAM. S, All India Anna Dravida Munnetra Kazhagam, 99330
RANAGANATHAN. B, Dravida Munnetra Kazhagam, 76613
JEYACHANDRA. T, Bharatiya Janata Party, 3912
DEVARAJAN. C, Jharkhand Mukti Morcha, 1128
MOHAMED ABBAS. S, Bahujan Samaj Party, 962
BHUVANESWARI. S, Indiya Jananayaka Katchi, 905
JAGEDHEESWARAN. D, Lok Satta Party, 905
LOKESH. D, Independent, 608
PALANIVEL. K, Communist Party of India  (Marxist-Leninist)  (Liberation), 477
ELUMALAI. P, Independent, 461
RAJENDRAN. N, Independent, 261
BALAJI. G, Independent, 201
LOGUBABU. B, Independent, 184
INBARAJ. D, Independent, 168
RAMAKRISHNAN. K, Independent, 137
PALANI. D, Independent, 95
