THANGATAMILSELVAN, All India Anna Dravida Munnetra Kazhagam, 91721
MOOKAIAH.L, Dravida Munnetra Kazhagam, 70690
KUMAR.R, Bharatiya Janata Party, 1660
RAJAPANDI.R, Jharkhand Mukti Morcha, 1015
PITCHAIMANI S, Independent, 961
MAHALINGAM. U, Independent, 700
EASWARAN.S, Bahujan Samaj Party, 620
MUTHUPANDI. M, Independent, 592
BALAKRISHNAN. R., Independent, 517
THANGAMUTHU  K, Independent, 322
SELVAKUMAR M, Independent, 228
MURUGANANDAM. R, Indiya Jananayaka Katchi, 224
SERALATHAN. C, Independent, 203
RAMAR. S.M., Independent, 198
GURUSAMY. S.S., Independent, 172
PALPANDI K, Independent, 171
MURUGAN.R, Independent, 153
ARUNKUMAR V, Independent, 113
KALUSIVALINGAM. M.S., Independent, 107
EASWARAN R, Independent, 102
KARUNANITHI R, Independent, 97
ANTHONIRAJ. S, Independent, 86
