RAMANITHARAN.S.S, All India Anna Dravida Munnetra Kazhagam, 78496
RAAJA.N.K.K.P, Dravida Munnetra Kazhagam, 53242
PONGIYIA GOUNDER.K, Independent, 2269
BARGUNAN A.P.S, Bharatiya Janata Party, 1988
SHEIKDAVOOD.A.M, Independent, 1528
VELUMANI.A, Ulzaipali Makkal Katchy, 1493
PARAMASIVAN.A, Bahujan Samaj Party, 1132
VADIVEL.K, Independent, 556
CHINNAPONNU VATHIYAR.V.M, Independent, 544
SAKTHIVEL.G, Independent, 511
CHANDRAKUMAR.S, Independent, 439
ANANDHAN.S, Independent, 406
ESWARAN.P, Independent, 318
