VAIGAICHELVAN, All India Anna Dravida Munnetra Kazhagam, 76546
RAMACHANDRAN. K.K.S.S.R, Dravida Munnetra Kazhagam, 65908
VETRIVEL. R, Bharatiya Janata Party, 1966
JEGAN, Independent, 1009
NAGARAJAN. K, Independent, 747
KALAISELVAN. S, Tamilaga Makkal Munnetra Kazhagam, 696
KANDASAMY. K, Bahujan Samaj Party, 640
MURUGAN. R, Independent, 445
PERUMALSAMY. S, Independent, 378
SIVASUBRAMANIAN. M, Independent, 325
GANESAN. P, Independent, 230
SUNDARRAJAN. S, Independent, 204
MARIMUTHU. A. G, Independent, 177
NATARAJAN. M, Independent, 145
DHARMARAJ. M, Independent, 116
THIRUVENGADAM. R, Independent, 105
