PERIYASAMY.I, Dravida Munnetra Kazhagam, 112751
BALASUBRAMANI.S, Desiya Murpokku Dravida Kazhagam, 58819
BALASUBRAMANI. S , Independent, 6685
RAJA.T, Independent, 3207
BHARANIDHARAN.J., Bharatiya Janata Party, 2233
RAMAMOORTHY.K , Independent, 1384
RAJA. B , Bahujan Samaj Party, 1191
ILANCHELIAN.M., Indiya Jananayaka Katchi, 799
PALANISAMY.K, Independent, 591
MURUGANANTHAM.M , Independent, 581
ALAGUPANDIAN.R , Independent, 501
PRABHAHAR.C , Independent, 308
SANKAR.J.L. , Independent, 195
