NARAYANAN.P.G, All India Anna Dravida Munnetra Kazhagam, 87121
MAHENDRAN.K.S, Pattali Makkal Katchi, 59080
SHITHI VINAYAGAN.K.A, Bharatiya Janata Party, 3432
KUMAR.M, Lok Satta Party, 1534
VENKATACHALAM.K, Independent, 1325
SATHIYA D, Independent, 1270
SARAVANAN.K, Independent, 1236
THANGARASU.S, Bahujan Samaj Party, 1065
ANANTHAMOORTHY.S, Independent, 980
RAVI.A, Independent, 954
PALANISAMY.M, Independent, 904
SELVARAJ.M, Independent, 677
SELLAMUTHU.K, Independent, 475
SELLAVEL.B.A, Independent, 443
