SELVI, All India Anna Dravida Munnetra Kazhagam, 87413
T.ARIVUSELVAN, Pattali Makkal Katchi, 74296
K. MURUGAVEL, Independent, 2511
A. MUTHU, Jharkhand Mukti Morcha, 1475
R.KAMALAKANNAN, Lok Jan Shakti Party, 1189
N. SAMY, Bahujan Samaj Party, 1031
P. PANNEERSELVAM, Independent, 603
P.SOUNDARARAJAN, Independent, 584
A. MANI, Independent, 349
G. THIRUVARASAMOORTHY, Janata Dal  (United), 243
K. DHANARASU, Independent, 233
M. PALANIVEL, Puratchi Bharatham, 179
E. GANESAN, Independent, 159
