PANNEERSELVAM O, All India Anna Dravida Munnetra Kazhagam, 95235
LAKSHMANAN S, Dravida Munnetra Kazhagam, 65329
VEERASAMY S N, Bharatiya Janata Party, 1598
ARUMUGAM S, Bahujan Samaj Party, 927
MEHALINGAM P, Independent, 611
RAMARAJ G, Ulzaipali Makkal Katchy, 600
LAKSHMANAN V, Independent, 501
PERUMALAPPAN S, Independent, 489
PITCHAIMANI M, Independent, 335
MURUGANANDAN C, Independent, 266
BALASUBRAMANI P, Independent, 256
HAKKEEM K.I.M, Independent, 244
SIVAKUMAR P, Independent, 208
MALAIRAJA S, Indiya Jananayaka Katchi, 173
NAGALAKSHMI M, Independent, 168
VELRAJ S, Independent, 160
MOHAMED SADIQ, Tamilaga Makkal Munnetra Kazhagam, 132
JAYAMANI K, Independent, 125
SELVAM S, Independent, 113
KALAVATHI C, Independent, 111
VETRISELVAN R, Independent, 103
ARUNACHALAM S, Independent, 98
AMARNATH G, Independent, 82
JEGANATHAN P, Independent, 80
VENUGOPAL K, Independent, 54
