ANBAZHAGAN. J, Dravida Munnetra Kazhagam, 64191
THAMEEMUN ANSARI. M, Manithaneya Makkal Katchi, 54988
VENKATARAMAN. S, Bharatiya Janata Party, 5374
ABDUL RAHIM. J, Indian National League, 1271
RAGHU. C, Bahujan Samaj Party, 894
SRIDHARAN. M, Independent, 812
SUNDARI. S, Independent, 473
PRABHU. S, Puratchi Bharatham, 443
HAMID HUSSAIN. B, Republican Party of India (A), 375
ANBALAGAN. S, Independent, 341
GAJAPATHI KRISHNAN. S, Independent, 187
RAJASEKARAN. R, Independent, 178
NAGARAJ. M, Independent, 178
THIRUMALAI PANDIAN. R, Independent, 131
