DORAISWAMY R  ALIAS CHALLENGER DORAI, All India Anna Dravida Munnetra Kazhagam, 80637
PONGALUR PALANISAMY N, Dravida Munnetra Kazhagam, 52841
NANDHA KUMAR C R, Bharatiya Janata Party, 5177
VIJAY ANAND M, Lok Satta Party, 1765
ESWARAN G R, Indiya Jananayaka Katchi, 573
MOHAMED ANEES M L, Independent, 384
GOVINDARAJ B, Bahujan Samaj Party, 333
SARAVANAN N, Independent, 324
LAZAR T, Independent, 313
RAVI C M ALIAS RAVI DEVENDRAN, Anaithinthiya Thamizhaga Munnetra Kazhagam, 259
POGALUR PALANISAMY S, Independent, 251
MURUGAN M, Independent, 177
BABURAJAN R, Independent, 158
SIVARAJ V, Independent, 102
