BALABHARATHI.K., Communist Party of India  (Marxist), 86932
PAUL BASKAR .J, Pattali Makkal Katchi, 47817
BOSE. P.G., Bharatiya Janata Party, 5761
GANESAN V, Akhil Bharat Hindu Mahasabha, 2014
PALANICHAMY.M, Independent, 1107
MUTHUVEERAN.M., Revolutionary Socialist Party, 945
BASKARAN.P , Bahujan Samaj Party, 711
NAGENDHARAN. S., Indiya Jananayaka Katchi, 586
NAGOORGANI.M , Independent, 502
ABUTHAHIR.A, Independent, 271
NAGAKANNIGA.A, Independent, 270
SELVARAJ.I , Akhila India Jananayaka Makkal Katchi (Dr. Issac), 258
GRACI MESRALLO.S, Independent, 241
AROCKIA SAMY. P, Puratchi Bharatham, 232
KARTHIKEYAN.S, Independent, 158
