RAMALINGAM K.V, All India Anna Dravida Munnetra Kazhagam, 90789
YUVARAJA M, Indian National Congress, 52921
PALANISAMY N.P, Bharatiya Janata Party, 3516
VENKATACHALAM K, Independent, 1371
TAMILARASU M, Independent, 1183
NAGARAJAN V.P, Bahujan Samaj Party, 1012
KITTUSAMY E, Puratchi Bharatham, 472
SENTHILRAJAN T.S.R, Independent, 438
SENTHILKUMAR V.S, Indiya Jananayaka Katchi, 413
SHANMUGAM (DR)P.N, Independent, 303
MURUGANATHAN S, Independent, 262
SENTHILKUMAR R, Independent, 248
CHRISTHURAJ M.A, Independent, 205
