SENGOTTAIYAN K.A, All India Anna Dravida Munnetra Kazhagam, 94872
SIVARAJ.N.S, Kongu Nadu Munnetra Kazhagam, 52960
VENKATACHALAM C.S, Independent, 10095
SENNAYYAN.N, Bharatiya Janata Party, 3408
RAVISEKARAN.R, Independent, 2349
MOHANRAJ.K, Independent, 2122
KANNAPPAN.G.S, Bahujan Samaj Party, 2009
ANBALAGAN.P, Independent, 1085
SIVAKUMAR.N, Ulzaipali Makkal Katchy, 1072
MOORTHY.A, Independent, 766
SENGOTTAIAN.K, Independent, 764
JAYARAM.M, Indiya Jananayaka Katchi, 756
MARIMUTHU.M, Independent, 709
KUMAR.V, Independent, 631
ANNAKODI.S, Independent, 586
