CHENDUR PANDIAN .P, All India Anna Dravida Munnetra Kazhagam, 80794
PETER ALPHONSE .S, Indian National Congress, 64708
MOHAMED MUBARAK .S., SOCIAL DEMOCRATIC PARTY OF INDIA, 6649
PANDI DURAI R., Bharatiya Janata Party, 3233
JAHIR HUSSAIN .S.S, Independent, 1753
RAMAIAH .M, Bahujan Samaj Party, 1177
MOHAMED JAFFER .K, Independent, 929
RAMANATHAN .P, Independent, 471
MARIMUTHU .T, Independent, 417
BALA SUBRAMANIAN .M, Independent, 385
SANKAR .A, Independent, 345
GANESAN .A, Independent, 324
ALAGAIAH .P.V., Independent, 323
MAHA RAJA PANDIAN  .P, Independent, 263
AYOOB KHAN .A, Independent, 207
SUTHAKAR .G, Independent, 177
