AGRI.KRISHNAMURTI.S.S, All India Anna Dravida Munnetra Kazhagam, 91833
VIJAYAKUMAR.P.S, Indian National Congress, 53599
VIJAYAKUMAR.A, Independent, 2615
DEVENDIRAN.S, Bahujan Samaj Party, 1656
RAJENDRAN.M.S., Indiya Jananayaka Katchi, 1329
RAMESH.K, Bharatiya Janata Party, 1323
VIJAYAGANTH.S, Independent, 783
POYYAMOZHI.V, Independent, 532
ELUMALAI.M, Independent, 456
CHANDRASEKERAN.K, Independent, 451
MARTHAL.V, Independent, 425
GAJENDIRAN.M, Independent, 399
PALANI.K, Independent, 389
