V. SOMASUNDARAM, All India Anna Dravida Munnetra Kazhagam, 102710
P. S. ULAGARAKSHAGAN, Pattali Makkal Katchi, 76993
A. N. RADHAKRISHNAN, All India Party for the Protection of Civil  Rights, 2806
M. PERUMAL, Bharatiya Janata Party, 2441
TA. V. PASSAMIGHU ANNAN VENKATESANOR, Anaithindia Dravidar Samudaya Munnetra Kazhagam, 1623
E. RAJA, Independent, 1417
S. M. SUBRAMANIAN, Indiya Jananayaka Katchi, 1201
P. KARTHIKEYAN, Bahujan Samaj Party, 899
M. THANIGAIMALAI, Independent, 753
S. UMAPATHY, Independent, 420
S. MAGESH, Independent, 352
T. SELVARAJI, Independent, 296
C. SETTU, Independent, 187
L. KARUNAKARAN, Independent, 137
