SENTHIL BALAJI  V., All India Anna Dravida Munnetra Kazhagam, 99738
JOTHI MANI  S., Indian National Congress, 55593
SIVAMANI  S., Bharatiya Janata Party, 2417
ASHOKKUMAR  B., Peoples Party of India(secular), 681
AADHIKRISHNAN  P., Bahujan Samaj Party, 620
LOGANATHAN  M., Independent, 610
SENTHIL KUMAR  P., Independent, 522
VEERAMANI  T., Independent, 480
VENUGOPAL  T., Independent, 433
PREMKUMAR  C., Independent, 393
PERIYASAMY  K.M., Indiya Jananayaka Katchi, 371
PACHAIAPPAN  M., Independent, 223
MANIVEL  R., Independent, 156
VASANTHARAJ  B., Independent, 138
SELVARAJ  S., Independent, 129
SHANMUGAM  K.S., Independent, 129
RATHINAM  M., Independent, 125
VIJAY  J., Independent, 97
SRINIVASAN  M., Independent, 95
SEENIVASAN.N, Independent, 81
