ARANGANATHAN.A.K, All India Anna Dravida Munnetra Kazhagam, 83663
PITCHANDI.K, Dravida Munnetra Kazhagam, 79582
SRIDHARAN.D, Independent, 2301
PITCHANDI.D, Bharatiya Janata Party, 1811
SETTU.R, Independent, 1724
ISAAC NEWTON.A, Bahujan Samaj Party, 1203
MURUGAN.M, Independent, 1057
VELLAKANNU.P, Independent, 628
SAMPATHRAJ.M, Independent, 410
JANARDHANAM.A, Indiya Jananayaka Katchi, 408
SUGUNA PANDIAN.A.R., Independent, 243
SELVARAJ.G, Lok Satta Party, 193
KARTHIK.K, Independent, 189
SASIKUMAR.S, Independent, 164
