STALIN M.K., Dravida Munnetra Kazhagam, 68784
SADAI.SA. DURAISAMY, All India Anna Dravida Munnetra Kazhagam, 65965
ARMSTRONG K., Bahujan Samaj Party, 3894
SHANKAR K.P.M., Independent, 770
ASHOK KUMAR S., Lok Satta Party, 497
SIVAKUMAR M., Indiya Jananayaka Katchi, 279
SARAVANAN S.P, Independent, 191
SURESH D, Independent, 181
SURIYA NARAYANAN D, Independent, 180
SIVASUBRAMANI S., Independent, 152
JAYARAMARAJ T, Independent, 151
PADMARAJAN K., Independent, 112
VENKATARAMANI K, Independent, 87
ATICK YEZDON A.S., Republican Party of India (A), 83
CHARAVANAN M.P., Independent, 72
AZHAGESAN S, Independent, 67
JAYASEELAN A., Independent, 66
VENUGOPAL M, Independent, 55
RAVI KUMAR T, Independent, 53
NARAYANARAO V.S., Independent, 53
GOPI K.S., Independent, 53
KANDASAMY S., Independent, 51
GANESAN P., Independent, 50
MURALI VINODH M., Independent, 40
KALAI ARASAN M., Independent, 38
RAMESH D., Independent, 34
RAGHU V.M., Independent, 31
