KADAMBUR RAJU C, All India Anna Dravida Munnetra Kazhagam, 73007
RAMACHANDRAN G, Pattali Makkal Katchi, 46527
MARIAPPAN P, Independent, 2685
RENGARAJAN V, Bharatiya Janata Party, 2186
VISUVASAM E, Independent, 1232
ARUMAIRAJ S, Bahujan Samaj Party, 1107
KENNADY V, Independent, 1068
RAMASAMY P, Independent, 679
MAHESHWARAN R, Independent, 566
KARTHICK RAJAN P, Independent, 452
ANNADURAI K, Independent, 397
BASKAR M, Independent, 370
KANNAMMAL G, Independent, 260
GANAPATHI M, Independent, 187
