KAMARAJ.S, All India Anna Dravida Munnetra Kazhagam, 83145
KAMARAJ.P, Dravida Munnetra Kazhagam, 60636
SENTHILKUMAR.V, Independent, 2300
SUDHAKAR.K, Independent, 1194
GANESAN.P, Independent, 1093
SANGAN.K, Bahujan Samaj Party, 832
SUBRAMANIAM.C, Bharatiya Janata Party, 801
SAKTHIVEL.C, Independent, 404
SARATHI.E, Independent, 397
ANJALIDEVI.P, Indiya Jananayaka Katchi, 341
ARUNAGIRI@  ARUNAGIRINATHAN.P, Akhil Bharat Hindu Mahasabha, 201
ANNADURAI.N, Independent, 179
RATHINAM.B, Peoples Party of India(secular), 176
