THANGAMANI.P, All India Anna Dravida Munnetra Kazhagam, 91077
SELVARAJU.G, Dravida Munnetra Kazhagam, 64190
BALAMURUGAN.K.S, Bharatiya Janata Party, 1600
THANGAMANI.S, Independent, 1179
VENUGOPAL.K, Independent, 1126
MURUGESAN.C, Independent, 571
VENKATACHALAM, Communist Party of India  (Marxist-Leninist)  (Liberation), 338
SENTHILKUMAR.R, Indiya Jananayaka Katchi, 252
LINGAPPAN.V, Ulzaipali Makkal Katchy, 210
PALANIYAPPAN.L, Independent, 194
SELVARAJ.P, Independent, 122
SHANMUGAM.C, Independent, 96
