MOORTHY V, All India Anna Dravida Munnetra Kazhagam, 115468
KANIMOZHI N S, Dravida Munnetra Kazhagam, 80703
SIVAKUMAR B, Bharatiya Janata Party, 2599
KUMARAN P, Independent, 2135
RAMESH A, Puratchi Bharatham, 1964
JANAKIRAMAN N, Bahujan Samaj Party, 1280
SRINIVASAN K, Jharkhand Mukti Morcha, 978
RAJA K, Independent, 872
JANAKIRAMAN S, Communist Party of India  (Marxist-Leninist)  (Liberation), 408
NANDAKUMAR P, Independent, 360
MEGANATHAN S, Independent, 233
SENTHILKUMAR B, Independent, 193
SRINIVASAN G S, Independent, 132
