SUNDARRAJAN R, Desiya Murpokku Dravida Kazhagam, 76063
SYED GHOUSE BASHA S, Dravida Munnetra Kazhagam, 56503
SASIKUMAR  A, Bharatiya Janata Party, 3708
SRINIVASAN G, Independent, 2569
MUTHURAJ K M, Independent, 2140
RADHAKRISHNAN R, Jharkhand Mukti Morcha, 953
VENKATESH KUMAR H, Indiya Jananayaka Katchi, 624
JEYAKUMAR M, Independent, 420
SENTHIL S, Independent, 328
VELAVENTHAN KANA, Independent, 300
TAMILARASAN  S, Independent, 216
PANDI P, Independent, 194
SYED THALIB ALISHA S, Independent, 133
