BEEM RAO. G, Communist Party of India  (Marxist), 96844
SELVAM K, Pattali Makkal Katchi, 72833
SELVAN S, Bharatiya Janata Party, 6381
SIVASANKARAN. D, Indiya Jananayaka Katchi, 2256
YOSUVA. P, Bahujan Samaj Party, 2040
SELVAM. K, Independent, 1542
DHILBAHADUR. L, Jharkhand Mukti Morcha, 1373
RAVEENDRAN. R, Independent, 855
DHARMARAJ. G, Independent, 640
SENTHIL KUMAR. K.G.R, Independent, 393
BASKARAN. K, Independent, 303
TAMILOLEI. G, Independent, 296
SOMASUNDARAM. K, Independent, 169
