RAJAA  T.R.B., Dravida Munnetra Kazhagam, 81320
RAJAMANICKAM SIVA., All India Anna Dravida Munnetra Kazhagam, 77338
JAYACHANDRAN M., Independent, 1863
VASUDEVAN P, Bharatiya Janata Party, 1435
VETRIVEL  K., Independent, 924
ANBUDHAS D., Bahujan Samaj Party, 795
VENKATACHALAM L., Independent, 747
ABDUL SAMAD  A.P.A., Independent, 540
LAKSHMI  M., Independent, 468
AROKIYASAMY K., Indiya Jananayaka Katchi, 335
PICHAIKKANNU R., Independent, 184
RAJA  K.S., Independent, 137
RASA S., Independent, 100
