R.ARULSELVAN, Desiya Murpokku Dravida Kazhagam, 63326
S.RAJAKUMAR, Indian National Congress, 60309
B. MANIMARAN, Independent, 6023
G.SETHURAMAN, Bharatiya Janata Party, 4202
S.MATHIYAZHAGAN, Independent, 1678
S.K.JAYARAMAN, Indiya Jananayaka Katchi, 1002
T.MURUGAN, Independent, 963
M.MAITHILI, Bahujan Samaj Party, 790
R. THIRUGANAM, Rashtriya Janata Dal, 712
M.RAJARAMAN, Independent, 555
A. ABDUL JALEEL, Independent, 528
J.VASUDEVAN, Independent, 523
R. THILLAI NATARAJAN, Independent, 431
G.S.BHARATHIDASAN, Independent, 304
T. TIMOTHY, Independent, 263
M. KUMAR, Independent, 238
