KITTUSAMY R.N, All India Anna Dravida Munnetra Kazhagam, 87705
PALANISAMI R.M, Indian National Congress, 47543
KATHIRVEL T, Bharatiya Janata Party, 8376
DEVENDIRAN K, Bahujan Samaj Party, 1992
GOVANAM THANGAVEL K.S, Independent, 1555
VEERAGOPAL R, Independent, 1314
GANESAN S, Independent, 1088
VISWANATHAN M, Independent, 721
MURUGESAN R, Independent, 602
DURAISAMY V.S, Independent, 540
KANAGARAJ K, Independent, 529
THANGAVELU P.S, Independent, 428
KATHIRVEL K.K, Independent, 403
SIVAKUMAR S, Independent, 296
