RAJALAKSHMI R, All India Anna Dravida Munnetra Kazhagam, 80063
THANGKABALU K V, Indian National Congress, 50859
VANATHI SRINIVASAN, Bharatiya Janata Party, 6911
ASHOK RAJENDRAN R, Lok Satta Party, 1340
PRAVEENKUMAR S, Independent, 527
RAJENDIRAN J, Independent, 500
SIVAKAMI M, Independent, 493
RENGARAJAN C C, Independent, 437
MOHAN S, Independent, 377
RAJENDRAN P, Peoples Party of India(secular), 278
GOPI NARAYANAN YADAV, Makkal Manadu Katchi, 217
MURUGESAN V, Independent, 168
MOHANRAJ J, Jebamani Janata, 167
SARAVANAN B, Independent, 144
FRANCIS A M, Independent, 136
SANTHALINGAM K, Independent, 106
KADIRAVAN T, Independent, 80
CHANDRA MOHAN D, Independent, 79
