BASKAR.K.P.P., All India Anna Dravida Munnetra Kazhagam, 95579
DEVARASAN.R., Kongu Nadu Munnetra Kazhagam, 59724
SATHYAMOORTHY.C., Indiya Jananayaka Katchi, 2996
PALANIAPPAN.K., Bharatiya Janata Party, 2168
ARJUNAN.S., Independent, 1333
BASKAR.T., Independent, 1101
MURUGASEN.P., Independent, 1015
NATARAJAN.M., Independent, 993
MURUGAN.P., Ulzaipali Makkal Katchy, 910
DEVARAJ.M., Independent, 901
MANOHARAN.K., Independent, 895
NALLATHAMBI.G.A., Independent, 554
BASKAR.V., Independent, 449
ARULMANI.S., Independent, 403
DEVARAJAN.P., Independent, 327
DEVARAJAN.P., Independent, 301
