VISWANATHAN.R., All India Anna Dravida Munnetra Kazhagam, 94947
VIJAYAN.K, Dravida Munnetra Kazhagam, 41858
ANDI AMBALAM.M.A, Independent, 29834
DURAI.K , Independent, 1870
VENKATESAN.G., Independent, 1038
KUTTIYAN.C., Bharatiya Janata Party, 980
JEYACHANDRAN.R, Independent, 834
MOHAMED MEERAN.M, Independent, 735
PACKIARAJ.M, Bahujan Samaj Party, 644
PANCHAVARNAM.A, Independent, 587
ARUL SELVAN.C, Independent, 483
ALAGAN.P, Independent, 439
SUBRAMANI.S , Independent, 332
ANANDAN.S, Independent, 313
TAMILSELVI.S, Independent, 257
SHEIK MOHAMED TAJUDEEN, Independent, 255
MURUGESAN. C.K, Independent, 246
VALLINATHAN.K, Independent, 212
SAKTHIVEL.T, Independent, 206
MANIKANDAN.P, Independent, 181
