SAKKARAPANI.R, Dravida Munnetra Kazhagam, 87743
BAALASUBRAMANI. P, All India Anna Dravida Munnetra Kazhagam, 72810
VELKUMAR.P , Independent, 3092
PALANISAMY.S.K, Bharatiya Janata Party, 1708
PITCHAI MUTHU. R , Bahujan Samaj Party, 744
CHELLAMUTHU. K, Independent, 672
GURUSAMY.S, Independent, 567
VIJAYASUNDARAM. A , Independent, 432
CHINNARAJA. D , Independent, 313
KANNAPPAN.K, Indiya Jananayaka Katchi, 228
SHANMUGAVEL. P., Independent, 135
SIVAPRAKASAM. K., Independent, 129
ARUMUGAM. C , Independent, 110
KARUPPUCHAMY.C , Independent, 102
