KRISHNAN.C, All India Anna Dravida Munnetra Kazhagam, 112102
TAMIZHARASU.A, Pattali Makkal Katchi, 65558
SIVARAM.B, Bharatiya Janata Party, 2139
KANDASAMI.S, Indiya Jananayaka Katchi, 1863
RAMACHANDIRAN.P, Independent, 1840
SELVARASU.C, Independent, 1262
THANGAMANI.S, Bahujan Samaj Party, 907
BALASUBRAMANI.G, Akhila India Jananayaka Makkal Katchi (Dr. Issac), 718
NATARAJAN.K, Puratchi Bharatham, 495
GOVINDARAJ.J, Jammu & Kashmir National Panthers Party, 444
SOMASUNDARAM.B, Independent, 442
