VENUGOPALU. K.S.N , All India Anna Dravida Munnetra Kazhagam, 82051
SENTHILKUMAR. I.P, Dravida Munnetra Kazhagam, 80297
DEENADAYALAN K, Bharatiya Janata Party, 1745
VENGUDUSAMY.A , Independent, 1483
SIVAKUMAR.R  , Independent, 1066
JAYACHANDHERAN.P, Lok Jan Shakti Party, 884
THAYAR SULTHAN K, Bahujan Samaj Party, 547
SELVAKUMAR.R , Independent, 433
LATHA.T, Independent, 290
NAGETHINRAN. G., Independent, 262
CHINNARAJ.K , Independent, 251
ESWARAN.N, Independent, 224
KANNAN.A.C, Independent, 160
ANBARASAN.A, Independent, 151
ELANGOVAN. N.V, Independent, 81
