P. DHANSINGH, All India Anna Dravida Munnetra Kazhagam, 105631
T. M. ANBARASAN, Dravida Munnetra Kazhagam, 88257
R. KUMAR, Lok Satta Party, 1082
B. RAJAPPA, Bahujan Samaj Party, 1074
R. SAMESUDOSS, Indiya Jananayaka Katchi, 1052
M. P. ANBARASU, Puratchi Bharatham, 739
S. VENKATESAN, Independent, 609
M. RAMALINGAM, Janata Dal  (United), 365
R. RUKMANGATHAN, Independent, 338
R. DHANASINGH, Independent, 318
G. SHANMUGAM, Independent, 311
S. ARUNAGIRI, Peoples Party of India(secular), 191
J. HARIFFULLAH, Independent, 136
BALRAJ, Independent, 133
K. SATHISHKUMAR, Independent, 110
E. SRINIVASAN, Independent, 109
