PALANIAPPAN P, All India Anna Dravida Munnetra Kazhagam, 76582
MULLAIVENTHAN V, Dravida Munnetra Kazhagam, 66093
VELU M, Independent, 18710
SHANKAR P, Independent, 2130
MOORTHY P, Independent, 1270
VAIGUNDAN P, Bahujan Samaj Party, 1037
JAYAKUMAR S, Bharatiya Janata Party, 707
PONMANI C, Independent, 415
AMSAVENI A, Indiya Jananayaka Katchi, 338
CHINNASAMY K, Independent, 334
KUMARAN V, Independent, 308
SARAVANAN S, Independent, 286
RAJAN K, Puratchi Bharatham, 281
ANNADURAI K, Ulzaipali Makkal Katchy, 240
