THANIYARASU.U, All India Anna Dravida Munnetra Kazhagam, 82682
VADIVEL.C, Pattali Makkal Katchi, 51664
VAITHIYANATHAN.V, Independent, 6233
MANOHARAN.K, Bharatiya Janata Party, 2140
SIVASANKAR.A, Independent, 2012
GOPAL.P, Independent, 1527
THANGADURAI.M, Indiya Jananayaka Katchi, 1447
BALASUBRAMANIAM.S.R, Independent, 911
RAVIKUMAR.S, Independent, 712
RAMASAMY.N, Independent, 566
SUNDARAM.N, Independent, 534
THANGARAJ.P, Independent, 452
MURUGESAN.R, Independent, 423
SRINIVASAN.P, Independent, 402
