SOUNDARARAJAN A, Communist Party of India  (Marxist), 84668
N.R.DHANAPALAN, Dravida Munnetra Kazhagam, 67245
R.RAVINDRAKUMAR, Bharatiya Janata Party, 2758
VIJAYAKUMAR K, Jharkhand Mukti Morcha, 961
PALANI.S, Bahujan Samaj Party, 912
GOPI ANAND C, Independent, 861
JESU I, Indiya Jananayaka Katchi, 753
BALAKRISHNAN S, Independent, 699
BALAKRISHNAN A, Independent, 662
SANTHANAM G, Independent, 456
MURALIDHARAN B, Independent, 339
THENKARAI MUTHU R, Independent, 317
PRABHAKAR S D, MAKKAL SAKTHI KATCHI, 286
RAJA P, Independent, 232
MARIADASS J, Puratchi Bharatham, 213
KISHOREKUMAR A, Independent, 173
SUNDER J, Independent, 156
MURTHY G, Independent, 120
SIVAKUMAR R, Independent, 111
SARAVANAN M, Independent, 104
