LASER.A, Communist Party of India  (Marxist), 76687
ANBAZHAGAN.V, Dravida Munnetra Kazhagam, 71046
GANAPATHY.M, Bharatiya Janata Party, 3422
SELVAM.M, Independent, 2347
RAJAGURU.P, Independent, 1260
NALLUCHAMY.P, Tamilaga Makkal Munnetra Kazhagam, 1129
KRISHNAVENI.N, Independent, 872
PALANICHAMI.K, Independent, 830
KUMARESAN.C, Bahujan Samaj Party, 691
SANTHI.D, Independent, 482
MARICHAMY.T, Independent, 442
PANDIARAJAN.P, Independent, 372
ARIVALAGAN.R, Independent, 356
PANDIAN.N, Lok Jan Shakti Party, 306
