VENKATACHALAM.N.D, All India Anna Dravida Munnetra Kazhagam, 89960
KKC BALU, Kongu Nadu Munnetra Kazhagam, 47793
ANBAZHAGAN.G, Bahujan Samaj Party, 2033
ANTONY PETER.L, Independent, 1464
ARUMUGAM.K, Janata Dal  (United), 1371
TAMILARASU.P, Independent, 1026
VENKATACHALAM.N.P, Independent, 925
THANGAMUTHU.T.V, Independent, 845
RAJU.P, Independent, 823
TAMILSELVAN.M, Indiya Jananayaka Katchi, 779
KANDASAMY.K, Independent, 672
RANI.A, Ulzaipali Makkal Katchy, 529
SELVAN.N, Independent, 500
SRIMATHI.S, Lok Satta Party, 435
SUBRAMANIAM.P.C, Independent, 406
