K.GOPALSAMY, All India Anna Dravida Munnetra Kazhagam, 80125
S.THANGAPANDIAN, Dravida Munnetra Kazhagam, 58693
N.S.RAMAKRISHNAN, Bharatiya Janata Party, 5428
V.MURUGAN, Independent, 736
A.JAKIR HUSSIAN, Independent, 701
J.JOSEPH CHELLAPPAH, Independent, 672
S.MANIVASAGAM, Bahujan Samaj Party, 625
R.SURIA MAHARAJA, Independent, 570
K.DHARMALINGAM, Independent, 302
M.MANMADHAN, Independent, 278
P.AYYANAR, Independent, 213
P.SARAVANAN, Independent, 202
K.NEERATHILINGAM, Independent, 166
V.SELVARAJ, Independent, 111
B.KULANTHAIVEL, Independent, 103
