JAWAHIRULLA, Manithaneya Makkal Katchi, 65831
HASAN ALI K, Indian National Congress, 50074
KANNAN D, Bharatiya Janata Party, 28060
RAJA HUSSAIN K, Indian National League, 3606
NAMBUKUMAR N, Independent, 3001
BAIROOS KHAN S, Independent, 2731
UDHIA SURIYAN K E P, Independent, 1682
MOORTHY M, Independent, 1138
KARUPIAH P, Independent, 1021
SETHU M, Bahujan Samaj Party, 876
SELVAM P, Independent, 595
MANI A, Independent, 532
SENTHIL KUMAR R, Independent, 437
KALAIARASAN A, Independent, 397
G.MURUGENDRAN, Independent, 382
KALIDASS S, Independent, 340
