ALAGAPURAM R MOHANRAJ, Desiya Murpokku Dravida Kazhagam, 88956
JAYAPRAKASH G, Indian National Congress, 59591
CHINNUSAMY C, Ulzaipali Makkal Katchy, 4517
MOHAN D, Bharatiya Janata Party, 4133
VENKATESAN V, Indiya Jananayaka Katchi, 1965
KAMBAR G, Republican Party of India, 804
SHAHJAHAN M A, Independent, 579
RAMESHBABU K R, Bahujan Samaj Party, 541
RAJA A, Independent, 429
MOHAN D, Independent, 403
YUVARAJA V, Independent, 392
CHINNAPAIYAN K R, Independent, 265
MOHAMED ILIYAS A, Independent, 218
MUTHUSAMY P, Independent, 206
KANNAN T N, Independent, 194
CHAKRAVARTHY  C, Independent, 163
