SELVARAJU.M.K., All India Anna Dravida Munnetra Kazhagam, 112691
SIVALINGAM.S.R., Dravida Munnetra Kazhagam, 52476
ANNADURAI.N, Bharatiya Janata Party, 2377
MAHALINGAM.N, United Communist Party of India, 2325
SIVANANDHAM.M.R, Indiya Jananayaka Katchi, 622
PANDIYAN.R, Bahujan Samaj Party, 600
BALAKRISHNAN.P, Independent, 462
SHAHJAHAN.M.A., Independent, 423
JANAKIRAMAN.J, Independent, 395
KALAICHELIYAN.K, Independent, 287
VISWANATHAN.G, Lok Satta Party, 279
SABARIMUTHU.A, Independent, 156
ANBU.D, Anaithindia Dravidar Samudaya Munnetra Kazhagam, 125
SHANMUGAM.N, Independent, 95
THOMAS.K.C., Akhila India Jananayaka Makkal Katchi (Dr. Issac), 88
GOPAL.V, Independent, 63
