VENKATACHALAM.G, All India Anna Dravida Munnetra Kazhagam, 95935
RAJENDRAN.R, Dravida Munnetra Kazhagam, 68274
ELUMALAI.K.K., Bharatiya Janata Party, 1327
ANNADURAI.A, Ambedkar People's Movement, 853
BALAJI.K.R, Indiya Jananayaka Katchi, 796
JEEVANANTHAM.M, Independent, 603
CHANDRASEKARAN.G, Independent, 458
SANKAR.P, Independent, 458
PARAMESHWARI.K, Bahujan Samaj Party, 357
SRINIVASAN.G, Independent, 246
KULANDAIVEL.E, Independent, 225
ARULMURUGAN.G, Independent, 135
KAMALAKKANNAN.S, Independent, 118
