KARUPPASAMY.C, All India Anna Dravida Munnetra Kazhagam, 72297
UMAMAHESWARI.M, Dravida Munnetra Kazhagam, 61902
LAKSHMI NATHAN.A, Independent, 2198
RAJENDRAN.S, Independent, 1917
SARATHA.C, Bharatiya Janata Party, 1862
SUBBULAKSHMI.P, Independent, 1210
GUNASEELAN.S, Independent, 895
KUMAR ALIAS PADAYAPPA, Bahujan Samaj Party, 815
MURUGAN.S, Independent, 508
MARIAPPAN.S, Independent, 288
GOMATHINAYAGAM.M, Independent, 239
MADASAMY.M, Independent, 181
AYYANAR.K, Independent, 175
RAJAN.G, Independent, 135
