VIJAYALAKSHMI PALANISAMY.P, All India Anna Dravida Munnetra Kazhagam, 105502
VEERAPANDI S.ARUMUGAM, Dravida Munnetra Kazhagam, 70423
BOOPATHY.M, Independent, 1194
NATARAJAN.P, Bharatiya Janata Party, 1127
VENKADACHALAM.S.K., Independent, 1103
MOHANKUMAR.M, Indiya Jananayaka Katchi, 1095
PUSHPARAJ.K, Independent, 851
SANA ULLAKHAN.B, Bahujan Samaj Party, 844
SAKTHIVEL.S, Independent, 551
SARAVANAN.K, Independent, 537
MADHU.M, Independent, 509
ELANGO.M, Independent, 403
DINESHKUMAR.C, Independent, 383
CHANDRAN.M, Independent, 337
