K.P. KANDAN, All India Anna Dravida Munnetra Kazhagam, 145385
S.S. BALAJI, Viduthalai Chiruthaigal Katchi, 78413
S. MOHANDOSS GANDHI, Bharatiya Janata Party, 7275
K. UTHARAPATHI, Bahujan Samaj Party, 1983
K. SINGARAJ, Indiya Jananayaka Katchi, 1666
K. NARASIMHAN, Independent, 1648
R. RAVI, Independent, 1127
M. ANBUMOZHI, Puratchi Bharatham, 796
T. SHEELA, MGR Thonderkal Katchi, 708
J. DHAMOTHARAN, Makkal Manadu Katchi, 694
A. KANDHASAMY, Independent, 453
K. ANGAMUTHU, Independent, 435
