RAJENTHRA BHALAJI.K.T, All India Anna Dravida Munnetra Kazhagam, 86678
VANARAJA .T, Dravida Munnetra Kazhagam, 51344
MEERA DEVI.P, Bharatiya Janata Party, 4182
KAMALAVELSELVAN.P, Bahujan Samaj Party, 718
BALASUBRAMANIAN .P.K, Independent, 654
RAJA SEKAR.R., Independent, 575
MADHAVAN .P, Independent, 482
ARUMUGASAMY. A, Independent, 377
GURUNATHAN. P, Independent, 345
NAVARANGA RAJA .K, Independent, 316
RAJ KUMAR .R., Independent, 249
THIYAGARAJAN  ALIAS YOGA NADAR. P.I.D, Independent, 189
KANAGA RAJ.R, Independent, 131
KUMAR.S, Independent, 124
SEKAR.V, Independent, 109
SELVARAJ .R., Independent, 100
