J JAYALALITHAA, All India Anna Dravida Munnetra Kazhagam, 105328
N ANAND, Dravida Munnetra Kazhagam, 63480
ARIVALAGON K.A.S, Bharatiya Janata Party, 2017
TAMILARASI V, Indiya Jananayaka Katchi, 1221
NATARAJAN S, Bahujan Samaj Party, 928
RAVISHANKAR IYYAR. N, Akhil Bharat Hindu Mahasabha, 738
RAVI P, Independent, 684
CHOLAN. K, Independent, 566
RENGARAJ.P, Independent, 461
RAMESH M, Independent, 436
S SETTU, Independent, 364
R.R. SHANMUGAM, Independent, 359
SRIRAMACHANDRAN, Independent, 271
SELVAM M, Independent, 236
VETRISELVAM R, Independent, 225
MUTHIYAN. C, Independent, 212
KALYANASUNDRAM K.A, Independent, 174
RADHA @ ARUNTHATHI RADHA, Independent, 166
GOVINDARAJAN J, Independent, 161
RAMA. RAJENDRAN, Independent, 156
K KAMARAJ, Independent, 128
AYYAYOO.S, Independent, 128
JAYARAMAN. V, Independent, 108
