T. K. M. CHINNEYAH, All India Anna Dravida Munnetra Kazhagam, 91702
S. R. RAJA, Dravida Munnetra Kazhagam, 77718
A. VEDA SUBRAMANIAM, Bharatiya Janata Party, 3061
D. K. GEORGE, MGR Thonderkal Katchi, 1449
M. RAJU, Indiya Jananayaka Katchi, 955
MINNAL SRINIVASAN, Independent, 602
COLONEL SUNDAR, Independent, 566
R. KRISHNA BABU, Lok Satta Party, 565
T. S. MARIMUTHU, Bahujan Samaj Party, 408
P. NANDAKUMAR, Independent, 293
M. RAVICHANDRAN, Shivsena, 237
G. BALAKRISHNAN, Makkal Manadu Katchi, 160
P. GNANASEKAR, Independent, 159
T. SATHIYANARAYANAN, Independent, 137
P. S. KAMARAJ, Independent, 128
T. R. SURIYANARAYANAN, Independent, 90
