NEELAKANDAN. V, All India Anna Dravida Munnetra Kazhagam, 72887
NATESAN .C. DR., Indian National Congress, 43546
KARUNANIDHI. E, Bharatiya Janata Party, 3561
AJITHA, Indiya Jananayaka Katchi, 756
SAKTHIVEL. C, Bahujan Samaj Party, 630
SHEELA BASKARAN.B, Independent, 518
SILAMBARASAN. R, Independent, 407
SIVAKUMAR. P. R, Independent, 272
PRABHAKARAN. K, Independent, 235
KOLANCHI .M, Independent, 231
SELVAKUMAR.G, Independent, 212
RENUKUMAR .S.E, Lok Jan Shakti Party, 151
KALAIVANAN .P, Independent, 124
SANKAR .T, Independent, 106
GOPALAKRISHNAN. A, Independent, 100
GOVINDARAJU. S, Independent, 71
