MUTHURAMALINGAM M, All India Anna Dravida Munnetra Kazhagam, 101494
MANIMARAN M, Dravida Munnetra Kazhagam, 75127
JAYAPANDI P, Independent, 1469
VAIYADURAI  V, Bahujan Samaj Party, 1389
RAMESH BABU M, Independent, 787
MUTHU P, Independent, 677
MUTHUMANI M, Indiya Jananayaka Katchi, 450
PERIASAMY K, Lok Jan Shakti Party, 243
PANNIRSELVAM A, Independent, 238
ARUMUGAM G, Independent, 204
NAGARATHINAM R, Independent, 177
SELVARAJ M, Independent, 176
KARUNTHANMALAI P, Independent, 159
GURUSAMY  G, Independent, 113
