RAJA A.K.T, Desiya Murpokku Dravida Kazhagam, 95469
SUNDARARAJAN C R, Indian National Congress, 46967
ARUMUGAM G, Independent, 9793
KANDHAN R, Bharatiya Janata Party, 3543
SELVAM P, Bahujan Samaj Party, 1251
SHANTHI POOSAN K, Independent, 1023
NAGAMANI L, Jharkhand Mukti Morcha, 865
BALACHANDRAN M, Independent, 791
ALAGU MUTHU VELAYUDAM N, Independent, 660
VELU V, Independent, 635
VARATHARAJAN V, Independent, 633
CHELLARAJ @ THAMIZHVANAN C, Independent, 504
ARUMUGAM V, Independent, 496
