K. MANOHARAN, All India Anna Dravida Munnetra Kazhagam, 84169
K. ARUMUGAM, Pattali Makkal Katchi, 65881
G. SIVALINGAM, Puratchi Bharatham, 1598
N. GOPALAKRISHNAN, Bharatiya Janata Party, 1579
G. RAJAMUTHU, Independent, 1367
S. ANANDBABU, Independent, 902
S. SARAVANAN, Bahujan Samaj Party, 807
V. SELAM, Independent, 603
K. V. PAKKIRI AMBEDKAR, Jharkhand Mukti Morcha  (Ulgulan), 352
V. PRABAKARAN, Independent, 334
V. BALU, Lok Jan Shakti Party, 242
P. DEVARAJ, Independent, 230
P. GUNASEKARAN, Independent, 214
B. AJESH, Independent, 202
K. HARI, Independent, 159
