RAMANA B.V, All India Anna Dravida Munnetra Kazhagam, 91337
SHIAJI E.A.P, Dravida Munnetra Kazhagam, 67689
JAMES E, Puratchi Bharatham, 2220
JANAKIRAMAN R.M.R, Bharatiya Janata Party, 1869
DEIVASIGAMANI T.A, Rashtriya Janata Dal, 1080
SHANTHAKUMAR V, Bahujan Samaj Party, 1039
BADRACHALAM U, Independent, 651
DINAKARAN C, Independent, 496
RAGAVAN G, Independent, 478
SARAVANAN P, Independent, 423
JEGAN N, Independent, 415
SRINIVASHAN C.J, Independent, 381
JAYAKUMAR D, Independent, 297
JAYAVEL G, Independent, 261
DEVASHEERVATHAM S, Republican Party of India, 238
SUBRAMANIAN C, Independent, 231
RAMAN V.M, Independent, 227
RAMESH P, Independent, 216
ELANGOVAN D, Independent, 202
SAKTHIDASAN R, Independent, 133
SASIKUMAR E.D, Independent, 120
GOPAL P, Independent, 112
