CHELLAPANDIAN  S.T, All India Anna Dravida Munnetra Kazhagam, 89010
GEETHA JEEVAN P, Dravida Munnetra Kazhagam, 62817
VENKATESH  V., Jharkhand Mukti Morcha, 1025
BENEDICT  J, Bahujan Samaj Party, 722
ALWAR KARTHIKEYAN  L, Independent, 634
NAGARAJAN  V., Janata Dal  (United), 573
RAMKUMAR  V, Independent, 502
ATHI NARAYANAN  A, Lok Satta Party, 463
MURUGAN  A, Independent, 304
RAJARATHNAM  M, Independent, 298
SIVALINGAM  P., Independent, 123
ILAYAPERUMAL  M, Independent, 105
PRABHAKARAN  S, Independent, 100
SAMUEL  J, Independent, 98
