VALARMATHI. B, All India Anna Dravida Munnetra Kazhagam, 67522
HASAN MOHAMED JINNAH, Dravida Munnetra Kazhagam, 59930
PHOTO SIVA ALIAS SIVALINGAM. M, Bharatiya Janata Party, 3098
THIWAN MUHAMMEDU NAHIB , Indiya Jananayaka Katchi, 849
ARJUNAN. C, Puratchi Bharatham, 409
JAYAPRAKASH. C, Independent, 391
BAHUJAN SAKTHI. S.E., Bahujan Samaj Party, 319
VALARMATHI. P, Independent, 273
RANI.S, Independent, 150
NACHIAPPAN. S.P., Independent, 124
JEGANATHAN. M, Independent, 113
SUGENDRAN. S, Independent, 103
SUBRAMANI. N, Independent, 86
SUDHAKAR. M, Independent, 80
ARUMUGAM. R, Independent, 68
THANGALINGAM. P, Independent, 52
