ANITHA R RADHAKRISHNAN, Dravida Munnetra Kazhagam, 68741
MANOHARAN. PR, All India Anna Dravida Munnetra Kazhagam, 68101
NATTAR. N, Jharkhand Mukti Morcha, 3240
RAMESWARAN. N, Bharatiya Janata Party, 2429
MURUGESAN. B, Independent, 693
RAJ KUMAR. P, Independent, 672
DEVA GNANA SIGAMANI. B, Bahujan Samaj Party, 626
SUDALAIKANNU. K, Indiya Jananayaka Katchi, 534
MANI. P, Independent, 271
THIRUPATHI. M, Independent, 156
CHELLASAMY. C, Independent, 146
MUTHUMALAI. S, Independent, 136
NANDHAKUMAR. A, Independent, 125
ARIGOPALAKRISHNAN. C, Independent, 104
CHIDAMBARAM. V, Independent, 97
CHITHIRALINGAM. A, Independent, 70
