MANOHARAN R, All India Anna Dravida Munnetra Kazhagam, 83046
ANBIL PERIYASAMY, Dravida Munnetra Kazhagam, 62420
PARTHIBAN P, Bharatiya Janata Party, 3170
MANOJ KUMAR S, Independent, 631
ELANGO N M, Rashtriya Janata Dal, 539
THANGARAJ V K, Akhil Bharat Hindu Mahasabha, 311
SURESHKUMAR D, Bahujan Samaj Party, 287
BABU K, Independent, 211
PERIYASAMY P, Independent, 202
MANOHAR P, Independent, 174
MANOHAR G, Independent, 132
BALRAJ O, Independent, 130
GANDHI R, Independent, 95
KAMATCHI K, Independent, 91
