N.MARIAM PITCHAI, All India Anna Dravida Munnetra Kazhagam, 77492
K.N.NEHRU, Dravida Munnetra Kazhagam, 70313
R.THIRUMALAI, Bharatiya Janata Party, 2569
P.SELVAM, Indiya Jananayaka Katchi, 1487
L.VENKATACHALAM, Independent, 475
R.ELANGOVAN, Bahujan Samaj Party, 407
S.MOHANARENGAN, Independent, 295
T.MURUGARAJAN, Independent, 282
O.BALU @ BALASUBRAMANIAN, Independent, 223
S.MURALIDHARAN, Independent, 156
M.BALASUBRAMANIAN, Lok Jan Shakti Party, 152
A.VASUDEVAN, Independent, 145
K.ASOKAN, Independent, 134
R.SUKUMAR, Independent, 109
T.SARAVANAKUMAR, Independent, 82
