NAINAR NAGENTHRAN, All India Anna Dravida Munnetra Kazhagam, 86220
LAKSHMANAN.A.L.S, Dravida Munnetra Kazhagam, 47729
VELAMMAL.G, Jharkhand Mukti Morcha, 7771
PASUPATHIPANDIAN.C, Independent, 4307
MADHAN.S, Indiya Jananayaka Katchi, 2696
MURUGADHAS.G, Bharatiya Janata Party, 1815
SUBRAMANIAN.M, Independent, 1200
RAMAKRISHNAN.P, Independent, 975
VEDANTHAM.K, Independent, 969
MADASAMY.C, Independent, 814
DEVENDRAN.T, Bahujan Samaj Party, 732
THENMOZHI.S, Communist Party of India  (Marxist-Leninist)  (Liberation), 695
POOLPANDI.K, Independent, 495
SARAVANAN.S, Independent, 367
SURESHKUMAR.M, Independent, 208
ANTONY BASKAR.M, Independent, 169
KOMBIAH.R, Independent, 142
