ARUNSUBRAMANIAN. M, Desiya Murpokku Dravida Kazhagam, 95918
RAMAN.E.S.S., Indian National Congress, 71988
SUBRAMANI.A.K, Jharkhand Mukti Morcha, 9760
RAMBAI.S, Independent, 3232
DASS.D, Bahujan Samaj Party, 1859
RAMESHKUMAR.M, Independent, 1524
BABU.J., Bharatiya Janata Party, 1450
RAMESH.J, Puratchi Bharatham, 1296
SURESHBABU.N.D., Independent, 1242
THANIGAIMALAI. M.D., Indiya Jananayaka Katchi, 1135
CHINNAPPAN.M., Independent, 710
SHETTU, Independent, 591
SHANMUGAM.M., Independent, 532
